date_or_day,total_new_first_infections,total_new_reinfections,total_new_infections,total_active_infected,total_active_infected_per_100k,total_recovered,total_recovered_per_100k,cross_region_flow_share,elderly_new_infections,elderly_active_infected,elderly_active_infected_per_100k,elderly_ever_infected_rate,elderly_reinfection_share
day_1,208.2242486837876,0.0,208.2242486837876,773.42384,8.0,193.35596000000004,2.0000000000000004,0.0020826028880002612,40.46795181497422,159.46576000000002,8.0,0.00012030176349581865,0.0
day_2,166.57597773728187,0.0,166.57597773728187,722.8511963418938,7.476895941991069,348.04072800000006,3.600000000000001,0.0020826021931185344,32.373769860974804,147.80658390748712,7.415088174789981,0.000136542877505965,0.0
day_3,157.3576886726285,0.0,157.3576886726285,713.6250081131029,7.381463784339546,492.61096726837883,5.095379188398215,0.002084877403673579,29.98616959076173,144.54914001022067,7.251670327735342,0.00015158619192809876,0.0
day_4,157.21199899012439,0.0,157.21199899012439,717.2508763465904,7.418968376734707,635.3359688909993,6.571671945266123,0.0020873843558687796,29.30226625764086,143.78433324567285,7.213301877251786,0.00016628640908203235,0.0
day_5,159.7835673018654,0.0,159.7835673018654,725.5821355003886,7.505143730768771,778.7861441603175,8.055465620613065,0.0020897090481715665,29.143404562705232,143.75111034410685,7.2116351670280485,0.00018090692928031496,0.0
day_6,163.32269672208662,0.0,163.32269672208662,736.2482092628017,7.615469512941846,923.9025712603951,9.556494366766819,0.0020918515212643464,29.159354356496884,143.93441243042238,7.220830976150485,0.00019553545109298273,0.0
day_7,167.34393415791126,0.0,167.34393415791126,748.55116620253,7.74272658781793,1071.1522131129557,11.07958826935519,0.0020938508391534043,29.246085777484947,144.19396920015478,7.2338522928134426,0.00021020748389932424,0.0
day_8,171.71435997222966,0.0,171.71435997222966,762.289199437124,7.884827542291678,1220.8624463534618,12.628133586918777,0.002095731448106504,29.37352355701954,144.50143787677473,7.249277230511415,0.0002249434490654075,0.0
day_9,176.40130751211836,0.0,176.40130751211836,777.412672773364,8.041258958589784,1373.3202862408864,14.205099095377111,0.0020975061686854556,29.53395687781441,144.861043338255,7.267317740849446,0.00023975989963278104,0.0
day_10,181.40144495614294,0.0,181.40144495614294,793.9214485865829,8.2120194131754,1528.802820795559,15.813350887095067,0.0020991822909194597,29.7264347137316,145.28575962792883,7.288624699267294,0.0002546729115363601,0.0
day_11,186.7204952307188,0.0,186.7204952307188,811.8335365312835,8.397295191017474,1687.5871105128756,17.455754769730145,0.002100764838808262,29.952017368727933,145.79028753787125,7.313935607888302,0.0002696990926395399,0.0
day_12,192.36733324244975,0.0,192.36733324244975,831.1752656713948,8.597358629869953,1849.9538178191322,19.13521380793364,0.0021022579624317937,30.212332499200024,146.38907863242508,7.343975465701231,0.00028485586735984316,0.0
day_13,198.35223999623852,0.0,198.35223999623852,851.9780973815247,8.812535154142905,2016.1888709534114,20.854685533907634,0.0021036654770980744,30.50914270015647,147.09585345660412,7.379432598275849,0.0003001615443655328,0.0
